Course Name,Module Name,Image Name,Date,Size,URL,Description,Image Title,Category,Keywords,Shutterstock Link,Shutterstock Preview Image Link
Biotechnology,Module 4 - Biotechnology Versus Molecular Biology,shutterstock_685086673.jpg,9/24/2021 16:31:41,2097206,https://drive.google.com/file/d/1C7gnRBIEy2IpPELqvT7fH_R39b4BEikl/view?usp=drivesdk,In a Modern Laboratory Biologist Conducts Experiments by Synthesising Compounds with use of Dropper and Plant in a Test Tube.,,,,,
Biotechnology,Module 4 - Biotechnology Versus Molecular Biology,shutterstock_1687113799.jpg,9/24/2021 16:31:36,13067149,https://drive.google.com/file/d/1Vr71Y9STmuxvapLCFBt-R-JE99vJak9n/view?usp=drivesdk,"Female scientist working in modern lab. Doctor making microbiology research. Laboratory tools: microscope, test tubes, equipment. Coronavirus covid-19, bacteriology, virology, dna and health care.",,,,,
Biotechnology,Module 7- Industrial Biotechnology,shutterstock_1929697574.jpg,9/24/2021 16:30:49,15542929,https://drive.google.com/file/d/1JPUwBaW2xIxwVoQ-789E-mFtv3Ug2EVg/view?usp=drivesdk,An open petri dish with Actinomycete colonies lies in a sterile cabinet next to test tubes in racks. Isolation of bacteria from a Petri dish into test tubes.,,,,,
Biotechnology,Module 7- Industrial Biotechnology,shutterstock_1868491183.jpg,9/24/2021 16:30:38,11552918,https://drive.google.com/file/d/1SbMkl3gS0V87SQU4oI1zL2xS3Os29sW2/view?usp=drivesdk,"Operator uses tablet computer to check quality and temperature of yeast fermentation in tanker hops and malt, beer production.",,,,,
Biotechnology,Module 7- Industrial Biotechnology,shutterstock_1352270876.jpg,9/24/2021 16:30:28,19466830,https://drive.google.com/file/d/1ZMGDyFhH2N6SnmbEgHwZXbuvTKPWkdqS/view?usp=drivesdk,Green bacteria on a petri dish in the hands of a scientist. Hands in blue gloves hold a petri dish. The scientist examines a cup of petrie with colonies of bacteria on a white background.,,,,,
Biotechnology,Module 7- Industrial Biotechnology,shutterstock_685086586.jpg,9/24/2021 16:30:54,3238077,https://drive.google.com/file/d/1LVfPATFHIqqe1_eC16CYM3PJStL0uLIG/view?usp=drivesdk,In a Modern Laboratory Research Scientist Conducts Experiments by Synthesising Compounds with use of Dropper and Plant in a Test Tube.,,,,,
Biotechnology,Module 8- Biotechnology in a Business Perspective,shutterstock_1294130260.jpg,9/24/2021 16:30:04,3834008,https://drive.google.com/file/d/1C3Tj0WbQPymERG7F_ZrjUhsAZM5NruZ_/view?usp=drivesdk,"Biotechnology researcher concept or biotech science, close up of male biologist doing experiment.",,,,,
Biotechnology,Module 8- Biotechnology in a Business Perspective,shutterstock_1924512560.jpg,9/24/2021 16:30:09,4598807,https://drive.google.com/file/d/1pTFBM2tEbluxPq2lHlV-FWM0K5PwLW35/view?usp=drivesdk,"Modern Medical Research Laboratory: Two Scientists Working Together Analysing Samples, Discussing Innovative Technology. Advanced Scientific Lab for Medicine, Biotechnology, Molecular Biology",,,,,
Biotechnology,Module 8- Biotechnology in a Business Perspective,shutterstock_329432669.jpg,9/24/2021 16:30:15,4722120,https://drive.google.com/file/d/1v_UKjzvVMdmFD1AKc6I3M7CUwTI-qjqD/view?usp=drivesdk,Young woman working with liquids in glassware,,,,,
Baking - Baking & Cake Decorating Diploma a Level 3,Module 02 Basic Ingredients of Baking,close-up-hand-mixing-chocolate.jpg,9/24/2021 16:24:13,1219564,https://drive.google.com/file/d/1Fh08clAfh3twrpNiDl5hncn-1ejZ_ACO/view?usp=drivesdk,,,,,,
Baking - Baking & Cake Decorating Diploma a Level 3,Module 02 Basic Ingredients of Baking,cocoa-powder-chocolate-beans.jpg,9/24/2021 16:24:25,17821696,https://drive.google.com/file/d/1RTzK9bFzuQ5nTKJLl8PWVEr6OMl7x6P4/view?usp=drivesdk,"Cocoa powder, chocolate and beans on a old burlap background",,,,,
Baking - Baking & Cake Decorating Diploma a Level 3,Module 02 Basic Ingredients of Baking,salt-wooden-spoon-place-floor.jpg,9/24/2021 16:25:22,13822433,https://drive.google.com/file/d/1T78etN37Ow1be4GXb6H6FzzsF0QEMVsL/view?usp=drivesdk,salt in wooden spoon place on floor,,,,,
Baking - Baking & Cake Decorating Diploma a Level 3,Module 02 Basic Ingredients of Baking,baking-soda-white-bowl-wooden-table.jpg,9/24/2021 16:24:09,13459519,https://drive.google.com/file/d/1r0d8OHvR6b3asFSfbkJ0WlBVZn1oU7Yp/view?usp=drivesdk,,,,,,
Baking - Baking & Cake Decorating Diploma a Level 3,Module 02 Basic Ingredients of Baking,dry-yeast-bowl-wooden-board.jpg,9/24/2021 16:24:49,4509136,https://drive.google.com/file/d/1KjGrYVdN_-F1sdckUUoGus-lD9L9XrPz/view?usp=drivesdk,,,,,,
Baking - Baking & Cake Decorating Diploma a Level 3,Module 02 Basic Ingredients of Baking,fresh-milk-bottle-glass.jpg,9/24/2021 16:24:57,8099028,https://drive.google.com/file/d/1p8URU71UBQaGRZgfd88BF9MaRB_I9sa2/view?usp=drivesdk,Fresh milk two bottle glass on the wooden table Black background,,,,,
Baking - Baking & Cake Decorating Diploma a Level 3,Module 02 Basic Ingredients of Baking,wooden-box-organic-raw-eggs-marble-surface.jpg,9/24/2021 16:27:17,17579453,https://drive.google.com/file/d/1enKcHYDRtEig6ZnKTkULD2B5JOvZjy62/view?usp=drivesdk,Wooden box of organic raw eggs on marble surface. High quality photo,,,,,
Baking - Baking & Cake Decorating Diploma a Level 3,Module 02 Basic Ingredients of Baking,olive-oil-bottle-marble-table.jpg,9/24/2021 16:25:10,16901560,https://drive.google.com/file/d/1zOOXK0i35NZVNIBQQb81lUQkMqOLZGMr/view?usp=drivesdk,Olive oil bottle on marble table. High quality photo,,,,,
Baking - Baking & Cake Decorating Diploma a Level 3,Module 02 Basic Ingredients of Baking,cook-with-eggs-rustic-kitchen-against-background-men-s-hands.jpg,9/24/2021 16:24:33,8681603,https://drive.google.com/file/d/1TYviKh4LRSAmOySvKy-8mjgcIv6Xkpe6/view?usp=drivesdk,"A cook on a rustic kitchen. The male hands with ingredients for cooking flour products or dough, bread, muffins, pie, cake, pizza",,,,,
Baking - Baking & Cake Decorating Diploma a Level 3,Module 02 Basic Ingredients of Baking,delicious-honey-dark-surface.jpg,9/24/2021 16:24:43,12643340,https://drive.google.com/file/d/1YauHFgjC4B4cSlITvq-ADz-9LOsOLEdn/view?usp=drivesdk,Delicious honey on dark backgroud,,,,,
Baking - Baking & Cake Decorating Diploma a Level 3,Module 02 Basic Ingredients of Baking,world-diabetes-day-sugar-wooden-bowl-dark-surface.jpg,9/24/2021 16:27:27,10798941,https://drive.google.com/file/d/1HfSqIDi48gfbB-TA8-OBdElE6fD_60kM/view?usp=drivesdk,World diabetes day; sugar in wooden bowl on dark background,,,,,
Baking - Baking & Cake Decorating Diploma a Level 3,Module 02 Basic Ingredients of Baking,shutterstock_520248964.jpg,9/24/2021 16:26:42,20251986,https://drive.google.com/file/d/1TxQZBpxxVVXE_LDy7zIrXinj9-fPKNWS/view?usp=drivesdk,butter,,,,,
Baking - Baking & Cake Decorating Diploma a Level 3,Module 02 Basic Ingredients of Baking,shutterstock_355672364.jpg,9/24/2021 16:26:12,8122223,https://drive.google.com/file/d/18_Cmayw15yw_UBBkz1SnrOqrq227e9UG/view?usp=drivesdk,Nuts mix in a wooden plate,,,,,
Baking - Baking & Cake Decorating Diploma a Level 3,Module 02 Basic Ingredients of Baking,shutterstock_1872045010.jpg,9/24/2021 16:25:42,2486473,https://drive.google.com/file/d/1LW2nNJT_uo0V0TipoEiZj-lHGncXGQZz/view?usp=drivesdk,Carnation Evaporated Milk by Nestle Peoria Arizona 12-11-20,,,,,
Baking - Baking & Cake Decorating Diploma a Level 3,Module 02 Basic Ingredients of Baking,shutterstock_1935400669.jpg,9/24/2021 16:25:52,12171895,https://drive.google.com/file/d/1ZhBJ9RrDjq86XC22k7g_NIwF2PnvWpw8/view?usp=drivesdk,Home made cake with isomalt candy. Selective focus.,,,,,
Baking - Baking & Cake Decorating Diploma a Level 3,Module 02 Basic Ingredients of Baking,shutterstock_1015520311.jpg,9/24/2021 16:25:32,13418240,https://drive.google.com/file/d/16VqRmJHIeCri8FTncPm0vlUmgAlXeeP-/view?usp=drivesdk,Brown unrefined cane sugar with a spoon close up,,,,,
Baking - Baking & Cake Decorating Diploma a Level 3,Module 02 Basic Ingredients of Baking,shutterstock_258837593.jpg,9/24/2021 16:26:04,10787724,https://drive.google.com/file/d/1qUnxKmusdwop7elLEPkc4Za-71YI8wLa/view?usp=drivesdk,Buckwheat flour,,,,,
Baking - Baking & Cake Decorating Diploma a Level 3,Module 02 Basic Ingredients of Baking,shutterstock_1759453148.jpg,9/24/2021 16:25:38,5197096,https://drive.google.com/file/d/1LoOAUwL4b9VASIlLfuNv_WhyFIrn2mY_/view?usp=drivesdk,Rye flour perfect for delicious artisan bread recipes.,,,,,
Baking - Baking & Cake Decorating Diploma a Level 3,Module 02 Basic Ingredients of Baking,shutterstock_524878255.jpg,9/24/2021 16:26:51,9656685,https://drive.google.com/file/d/1E6AIl1JYOa6cbn5AY_XGzyt_Lp6gqyDm/view?usp=drivesdk,semolina flour in a bowl,,,,,
Baking - Baking & Cake Decorating Diploma a Level 3,Module 02 Basic Ingredients of Baking,shutterstock_520143085.jpg,9/24/2021 16:26:28,5054396,https://drive.google.com/file/d/16HgVGiyG88fz5OW03J-QTVt1vgUpGpPk/view?usp=drivesdk,wheat and flour on the table,,,,,
Baking - Baking & Cake Decorating Diploma a Level 3,Module 02 Basic Ingredients of Baking,shutterstock_71620903.jpg,9/24/2021 16:26:58,7739703,https://drive.google.com/file/d/1CGygYE3-N-Wkqo4HkMdgU8RfGa4odwET/view?usp=drivesdk,fresh bread on the table,,,,,
Baking - Baking & Cake Decorating Diploma a Level 3,Module 02 Basic Ingredients of Baking,shutterstock_451203238.jpg,9/24/2021 16:26:22,11342354,https://drive.google.com/file/d/1lCKBgPLvENerD-dzzFx6atO7osahqLkN/view?usp=drivesdk,Ingredients for baking cake,,,,,
Baking - Baking & Cake Decorating Diploma a Level 3,Module 02 Basic Ingredients of Baking,shutterstock_253727776.jpg,9/24/2021 16:25:56,2273353,https://drive.google.com/file/d/1CPSD_bFuv2UfPXIA_2l3q6V4OvU8IYmy/view?usp=drivesdk,Pouring Water into Flour. Making Dough. Preparation Meat Dumplings.,,,,,
