broadCategory,courseLanguage,courseLink,courseRating,courseTitle,instructorLink,instructorRating,instructorTotalCourse,lastUpdated,subcategory,subcategory1,subtitle,unitSold,
Office Productivity,English,https://www.udemy.com/course/adobe-acrobat-dc-pro-introduction/,4.8,Adobe Acrobat DC Pro Introduction,https://www.udemy.com/user/intellezy/,4.4,219,8/2021,Other Office Productivity,Adobe Acrobat,"Learn the basics of PDFs, including how to create and edit in Acrobat DC Pro.",1770,
Office Productivity,English,https://www.udemy.com/course/automation-using-windows-powershell/,4.1,Learning Task Automation using Windows PowerShell,https://www.udemy.com/user/vijay-saini-2/,4.3,13,12/2020,Microsoft,Automation,PowerShell guide to introduce you with PowerShell scripting and use PowerShell ISE & PowerShell cmdlets for automations,9290,
Office Productivity,English,https://www.udemy.com/course/powerpoint2013/,4.4,Eye-catching presentations using PowerPoint 2013,https://www.udemy.com/user/businessproductivity/,4.5,15,6/2015,Microsoft,PowerPoint,Improve your presentation skills and learn to effectively use PowerPoint 2013 to create eye-catching slides.,9486,
Office Productivity,English,https://www.udemy.com/course/import-excel-into-access/,4.6,Excel to Access: Intro to Microsoft Access for Excel Users,https://www.udemy.com/user/brucemyron/,4.6,20,2/2021,Microsoft,Microsoft Access,"Learn Access quickly and understand how it works with Excel. Master the basics of tables, queries, forms and reports.",17120,
Office Productivity,English,https://www.udemy.com/course/microsoft-excel-2016-complete-beginner-to-advanced-excel-course/,4.6,Complete Excel Mastery: Microsoft Excel Beginner to Advanced,https://www.udemy.com/user/stevemcdonald2/,4.6,21,10/2019,Microsoft,Excel,"Master Microsoft Excel quickly & easily. Microsoft Excel beginner to Excel pro - Excel 2010, Excel 2013, Excel 2016, 365",28832,
Office Productivity,English,https://www.udemy.com/course/stunning-excel-dashboards-with-powerpivot-and-power-view/,4.5,"Excel Power Query, Power Pivot, Power Map & DAX Masterclass",https://www.udemy.com/user/andrewex/,4.5,7,8/2021,Microsoft,DAX,"Learn Excel Power Query, PowerPivot, DAX, Power View & Power BI Tools. Build Excel Data Analyst Models with Excel 2019",8357,
Office Productivity,English,https://www.udemy.com/course/excel-lessons-zero-to-pro-for-teachers-and-office-workers/,4.3,Excel Lessons - Zero to Pro for Teachers and Office Workers,https://www.udemy.com/user/elchin-abbasov-2/,4.3,1,3/2021,Microsoft,Excel,"Microsoft Excel - Learn Excel Charts, Spreadsheets, Formulas, Shortcuts, Tips & Tricks, etc.",54990,
Office Productivity,English,https://www.udemy.com/course/excel-master-class-pivot-tables-and-pivot-charts/,4.6,Complete Introduction to Excel Pivot Tables and Pivot Charts,https://www.udemy.com/user/ianlittlejohn2/,4.6,17,2/2021,Microsoft,Excel,Learn to analyze & summarize data in seconds using Excel's most powerful data feature - Pivot Tables & Pivot Charts!,2535,
Office Productivity,English,https://www.udemy.com/course/master-microsoft-powerpoint-2016-the-easy-way/,4.6,Master Microsoft PowerPoint 2016 the Easy Way,https://www.udemy.com/user/simonsezit/,4.5,174,4/2021,Microsoft,PowerPoint,Become an expert at the world's most popular presentation software.,4703,
Office Productivity,English,https://www.udemy.com/course/powerpoint-2016-advanced/,3.9,PowerPoint 2016 Advanced,https://www.udemy.com/user/intellezy/,4.4,219,4/2018,Microsoft,PowerPoint,Learn advanced techniques for create dynamic and engaging presentations in Microsoft PowerPoint 2016.,2643,
Microsoft,English,https://www.udemy.com/course/mastering-microsoft-teams/,4.3,Mastering Microsoft Teams (2020),https://www.udemy.com/user/chipreaves/,4.4,71,6/2020,Microsoft Teams,Microsoft Teams,"Become an expert at using Microsoft Teams to chat, collaborate, and get things done",38014,
Office Productivity,English,https://www.udemy.com/course/excel-with-microsoft-excel-vba-user-forms/,4.7,Excel with Microsoft Excel VBA User Forms,https://www.udemy.com/user/kyle-pew/,4.6,19,9/2016,Microsoft,Excel VBA,Learn to Create and Program Microsoft Excel VBA User Forms like a Pro,18176,
Office Productivity,English,https://www.udemy.com/course/mobility-security-bundle-ms-100-ms-101-sharepoint/,4.4,"Microsoft 365 Bundle (MS-100, MS-101 & SharePoint)",https://www.udemy.com/user/intellezy/,4.4,219,6/2021,Microsoft,Microsoft MS-100,Learn topics from the Microsoft 365 Mobility and Security MS-100 and MS-101 exams as well as SharePoint 365 Site Owner,3307,
SAP,English,https://www.udemy.com/course/sap-erp-project/,4.4,SAP Project Essentials: Implementing SAP S/4HANA and SAP ERP,https://www.udemy.com/user/george-boyle-9/,4.4,1,12/2020,SAP Project,SAP Project,Covering everything about the basics of SAP implementation ins and outs with SAP Activate and Accelerated SAP,68953,
Office Productivity,English,https://www.udemy.com/course/microsoft-powerpoint-beginner-to-advanced-x/,4.6,Microsoft PowerPoint From Beginner to Advanced,https://www.udemy.com/user/kyle-pew/,4.6,19,11/2019,Microsoft,PowerPoint,Go from Zero to Microsoft PowerPoint Presenter Extraordinaire. Downloadable Exercise file to Follow Along.,38262,
Microsoft,English,https://www.udemy.com/course/microsoft-excel-the-complete-intro/,4.4,Ms Excel/Excel 2021 - The Complete Introduction to Excel,https://www.udemy.com/user/ataouyl-yassin/,4.2,21,1/2021,Excel,Excel,Master Excel/microsoft Excel- Learn MS Excel - Excel formulas/Excel charts/Excel functions using Excel 2016/Excel 2019,195604,
Office Productivity,English,https://www.udemy.com/course/mac-keyboard-shortcuts/,4.7,Productivity for Mac Users: 10x Your Productivity,https://www.udemy.com/user/justinmares/,4.5,6,5/2014,Apple,Computer Skills,Shortcuts and Tools to 10x Your Productivity on Your Mac,8479,
SAP,English,https://www.udemy.com/course/sap-supply-chain-logistics-in-r3/,4.3,SAP : Supply Chain Logistics in R/3,https://www.udemy.com/user/abdulmaulud/,4.4,17,5/2021,Supply Chain,Supply Chain,Everything you need to know about SAP Supply Chain Logistics and Transportation in one easy place,12478,
Office Productivity,English,https://www.udemy.com/course/excel-data-cleaning-and-analysis-using-text-functions/,4.4,Excel: Data cleaning and analysis techniques,https://www.udemy.com/user/instructorskillfinlearning/,4.3,15,3/2021,Microsoft,Data Analysis,"Learn Excel functions to do data cleaning, data manipulation and analysis using the TEXT functions",3109,
Office Productivity,English,https://www.udemy.com/course/ms900-microsoft-365-office-365-fundamentals-training-course-tutorials/,4.2,MS-900:Microsoft 365& Office 365 Administration Fundamentals,https://www.udemy.com/user/satish-405/,4.5,5,5/2020,Microsoft,Microsoft MS-900,Learn fundamentals of Microsoft 365 & Office 365 Administration (MS-900 exam) from ex-Microsoft employee.,3024,
Office Productivity,English,https://www.udemy.com/course/20-advance-excel-tools-mastery-course/,4.7,100% Effective Excel Tricks & Tools Crash Course [2021],https://www.udemy.com/user/trulabz-technologies-2/,4.5,2,6/2020,Microsoft,Excel,"Excel Tools & Tricks to increase Productivity & Save Time. Become Excel PRo Using Excel Ninja Tricks (2013, 2016, 2019)",28301,
Office Productivity,English,https://www.udemy.com/course/complete-guide-to-microsoft-powerapps-basic-to-advanced/,4.5,Power Apps - Complete Guide to Microsoft PowerApps,https://www.udemy.com/user/henry-legge-2/,4.5,4,11/2020,Microsoft,Microsoft PowerApps,Build smart business applications using Microsoft Power Apps with no code! Learn PowerApps from basic to advanced,16864,
Microsoft,English,https://www.udemy.com/course/master-excel-pivot-tables/,4.5,Master Excel Pivot Tables - Excel 2016,https://www.udemy.com/user/techmountainconsulting/,4.5,4,6/2016,Pivot Tables,Pivot Tables,"Master Microsoft Excel Pivot Tables in an afternoon! Excel 2016, Excel 2013, and Excel 2010 Pivot Tables.",17708,
Microsoft,English,https://www.udemy.com/course/ioniya-macros-vba-excel/,4.3,Macros & VBA Excel,https://www.udemy.com/user/ioniya/,4.1,9,3/2017,Excel Macros,Excel Macros,A well designed course to learn Macros and Visual Basics for Applications in Excel,14028,
