broadCategory,courseLanguage,courseLink,courseRating,courseTitle,instructorLink,instructorRating,instructorTotalCourse,lastUpdated,subcategory,subcategory1,subtitle,unitSold,
SAP,English,https://www.udemy.com/course/sap-s4hana-training-hana-s4-hana-finance-fiori/,4,"SAP S/4HANA Training with SAP HANA, S4 HANA Finance & FIORI",https://www.udemy.com/user/rana-w-mehmood/,4.3,6,1/2021,SAP S/4HANA,SAP S/4HANA,"Functional knowledge on SAP HANA, S/4HANA, S/4HANA Finance and SAP FIORI for Beginners",3748,
Office Productivity,English,https://www.udemy.com/course/advanced-microsoft-excel-formulas-functions/,4.3,Advanced Microsoft Excel Formulas & Functions - 2021,https://www.udemy.com/user/ahamed-mohideen-ahamed-mohideen-mubeen/,4.3,11,6/2021,Microsoft,Excel,"Advanced excel,excel,Excel Advanced Formulas & Functions,Index and Match,Vlookup,Hlookup,microsoft excel,basic excel",96928,
SAP,English,https://www.udemy.com/course/sap-bi-bo/,4.4,SAP Business Analytics Essential Training,https://www.udemy.com/user/fredrick-higgins-3/,4.4,2,1/2021,SAP GRC,SAP GRC,"Create data visualization, monitor performance, manage risk with SAP Bl, EPM, GRC and get more insights from your data.",69610,
Office Productivity,English,https://www.udemy.com/course/business-decision-making-with-excel-what-if-analysis/,4.5,"Master Decision making with "" Excel What-If Analysis"" !",https://www.udemy.com/user/9f5a7f3a-5844-4c83-baf1-1cea4267b2b0/,4.4,6,5/2020,Microsoft,Excel,"Unleash Advanced Excel for Business decision making.Master Sensitivity analysis,scenario comparisons & Excel solver.",14532,
Office Productivity,English,https://www.udemy.com/course/learn-sap-abap-by-doing/,4.5,Learn SAP ABAP by Doing,https://www.udemy.com/user/lukman16/,4.4,4,5/2017,SAP,SAP ABAP,Creating more than 30 ABAP programs form simple to complex,3433,
Office Productivity,English,https://www.udemy.com/course/excel-2016-advanced/,4.5,Excel 2016 Advanced,https://www.udemy.com/user/intellezy/,4.4,219,4/2018,Microsoft,Excel,"Take Excel to the next level with advanced formulas, What-If Analysis tools, advanced PivotTables, Macros and much more",2261,
Microsoft,English,https://www.udemy.com/course/ultimate-excel-vba/,4.7,Ultimate Excel VBA,https://www.udemy.com/user/marktalbert/,4.7,1,8/2013,Excel VBA,Excel VBA,Programming for the Business Professional,13159,
Microsoft,English,https://www.udemy.com/course/business-data-analysis-with-microsoft-excel/,4.4,Business Data Analysis with Microsoft Excel and Power BI,https://www.udemy.com/user/michaelolafusi/,4.5,3,11/2020,Excel,Excel,An in-depth training on Excel and Power BI for busy professionals who use Excel a lot at work.,20128,
Office Productivity,English,https://www.udemy.com/course/customize-excel-2016/,4.8,Excel 2016: Customize Excel - Save Time & Be More Productive,https://www.udemy.com/user/brucemyron/,4.6,20,4/2020,Microsoft,Excel,Quickly learn how to customize Excel 2016 so that you don't have to waste time when creating new workbooks!,6453,
Office Productivity,English,https://www.udemy.com/course/google-search-advance-search-the-web-as-professional/,3.5,Google Advance Search - Search The Web As Professional,https://www.udemy.com/user/ankeshpareek/,3.7,2,11/2014,Google,Online Search,Google Advance Search Will Show You How To Use Google Search Engine To Find The Very Relevant Result For Your Query,14210,
Office Productivity,English,https://www.udemy.com/course/30-minute-excel-training-sheets/,3.2,Maximize your Organisational Skills using Excel Sheets,https://www.udemy.com/user/jedguinto/,4.5,18,8/2019,Microsoft,Organization,"Master sheet control, duplication & transfer techniques giving you full data and maximized organisational abilities!",23157,
Microsoft,English,https://www.udemy.com/course/microsoft-office-excel-word-access-powerpoint/,4.6,"Ultimate Microsoft Office; Excel, Word, PowerPoint & Access",https://www.udemy.com/user/simonsezit/,4.5,174,8/2021,Microsoft Office,Microsoft Office,Learn basic to advanced Microsoft Office skills in this 8-course bundle for Office 365 or Office 2019,19965,
Office Productivity,English,https://www.udemy.com/course/excel-dashboard/,4.5,Excel with Interactive Excel Dashboards,https://www.udemy.com/user/myndatreacy/,4.5,2,10/2015,Microsoft,Excel Dashboard,Learn how to create amazing interactive Excel Dashboards that will wow your boss & take your career to the next level. Lifetime access with no subscription on Udemy.,6817,
Microsoft,English,https://www.udemy.com/course/the-ultimate-microsoft-office-2016-training-bundle/,4.6,The Ultimate Microsoft Office 2016 Training Bundle,https://www.udemy.com/user/simonsezit/,4.5,174,9/2021,Microsoft Office,Microsoft Office,"The Most Convenient Way to Boost Your Confidence And Learn MS Office 2016 Inside And Out—Quickly, No Travel or Classes.",18380,
Microsoft,English,https://www.udemy.com/course/microsoft-excel-exercises-for-beginners-with-solutions/,4.7,Microsoft Excel - 40 Exercises for beginners. Learn by doing,https://www.udemy.com/user/halvard-bastiansen-2/,4.7,1,10/2019,Excel,Excel,Learning by doing with Excel exercises! A practical approach to learn Microsoft Excel for beginners.,7709,
Microsoft,English,https://www.udemy.com/course/excel2016course/,4.6,Beginners to Expert Excel and Excel VBA 38 Hours Mega Course,https://www.udemy.com/user/mach42productions/,4.6,2,6/2021,Excel,Excel,"Learn Excel formulas, Pivot Tables, Excel VBA macros, charts and the basics with our Microsoft Excel 38+ hours tutorial",15861,
SAP,English,https://www.udemy.com/course/sap-s4-hana-ewm-extended-warehouse-management-course/,3.9,SAP S/4 HANA EWM - Extended Warehouse Management,https://www.udemy.com/user/ricardonayaarboleya/,4.1,14,7/2020,SAP S/4HANA,SAP S/4HANA,Learn how to organize and operate EWM - Extended Warehouse Management functionality in SAP S/4 HANA,9245,
Office Productivity,English,https://www.udemy.com/course/how-to-use-mac-os-x/,4.6,Mac OS X Superuser - Use Mac OS X like a Pro,https://www.udemy.com/user/grant-klimaytys/,4.4,28,9/2021,Apple,macOS,"Mac OS X on steroids. Learn to Move Around OS X and Automate Common Tasks! macOS Catalina, Sierra etc",4868,
Office Productivity,English,https://www.udemy.com/course/advanced-microsoft-excel-2013-online-excel-course/,4.5,Microsoft Excel 2013 Advanced. Online Excel Training Course,https://www.udemy.com/user/infiniteskills/,4.3,323,1/2017,Microsoft,Excel,Master Advanced Excel 2013 Features. Become A Expert And Learn To Use Excel Like A Pro With This Advanced Excel Training,43487,
Microsoft,English,https://www.udemy.com/course/steps-to-excel-success/,4.7,7 Steps To Excel Success - Excel Skills And Power Tips,https://www.udemy.com/user/billywigley/,4.6,3,6/2021,Excel,Excel,"In Excel every step counts. Learn to apply 7 Steps To Excel Success. Excel 2007,Excel 2010, Excel 2013 - Excel 365.",3099,
Office Productivity,English,https://www.udemy.com/course/sap-financial-accounting-and-controlling-super-user-training/,3.9,SAP Financial Accounting and Controlling Super User Training,https://www.udemy.com/user/sadim-rasheed-3/,4.2,5,2/2018,SAP,SAP Financial Accounting,"A complete Beginner and Intermediate SAP FICO Training - Step by Step by guide, perform all the task in the SAP System",4614,
Office Productivity,English,https://www.udemy.com/course/office365/,4.6,The ultimate real-life Office 365 productivity course,https://www.udemy.com/user/businessproductivity/,4.5,15,5/2020,Microsoft,Microsoft Office 365,Transition to a digital workplace and boost Office 365 productivity through real life storytelling and best practices,2439,
Other Office Productivity,English,https://www.udemy.com/course/how-to-type-touch-typing/,4.3,Typing Course - How to Touch Type Faster - New Way to Learn,https://www.udemy.com/user/ianstables/,4.3,42,9/2021,Typing,Typing,A Revolutionary Way to Learn - Complete Your Typing Tasks Faster - Learn the Lifelong Skill of Touch Typing,31881,
Office Productivity,English,https://www.udemy.com/course/microsoft-excel-essentials/,4.7,Excel Essentials for the Real World (Complete Excel Course),https://www.udemy.com/user/leila-gharani/,4.7,9,9/2021,Microsoft,Excel,"Microsoft Excel Beginner to Professional. Includes Pivot Tables, Power Query, NEW Formulas... (Excel 365, 2019 & 2016)",26223,
Office Productivity,English,https://www.udemy.com/course/excel-master-class-power-query-consume-and-transform-data/,4.5,Complete Introduction to Excel Power Query,https://www.udemy.com/user/ianlittlejohn2/,4.6,17,6/2021,Microsoft,Power Query,Quickly & effectively learn to transform and prepare data for Microsoft Excel using Power Query,2893,
SAP,English,https://www.udemy.com/course/beginner-complete-basics-of-sap-process-orchestration/,4.5,Beginner: Complete Basics of SAP PO (Process Orchestration),https://www.udemy.com/user/srinivas-192/,4.4,11,2/2021,SAP PO,SAP PO,Learn everything you need to know about SAP Process Orchestration tools and Integration Concepts,4669,
Microsoft,English,https://www.udemy.com/course/microsoft-word-from-beginner-to-advanced-and-beyond/,4.6,Master Microsoft Word Beginner to Advanced,https://www.udemy.com/user/kyle-pew/,4.6,19,8/2019,Microsoft Word,Microsoft Word,"Master the most popular Word Processing tool, Microsoft Word. Microsoft Word 2010, Word 2013, Word 2016, Word 2019",70637,
Office Productivity,English,https://www.udemy.com/course/abap-objects/,4.6,Learn SAP ABAP Objects - Online Training Course,https://www.udemy.com/user/petermoxon/,4.4,7,7/2015,SAP,SAP ABAP,"SAP ABAP Objects Programming Training With Peter Moxon, Study For Certification - Life Time Access + Updates!",15377,
Office Productivity,English,https://www.udemy.com/course/excel-for-analysts/,4.7,Microsoft Excel - Advanced Excel Formulas & Functions,https://www.udemy.com/user/maven-analytics/,4.6,6,1/2021,Microsoft,Data Analysis,Master 75+ MS Excel formulas and learn data analysis with a top Microsoft Excel & business intelligence instructor,242250,
Office Productivity,English,https://www.udemy.com/course/microsoftexceltricks/,4.3,Microsoft Excel tricks (MacBook & Windows) beginner-advanced,https://www.udemy.com/user/denis-385/,4.4,5,5/2020,Microsoft,Excel,"Became advanced user today! Hack 2010, 2013, 2016, Excel 2019, Office 365: functions & formulas, data analytics, charts!",48853,
Office Productivity,English,https://www.udemy.com/course/mac-pages/,4.2,Mac Pages: Mastering Apple's Word Processing App,https://www.udemy.com/user/gary-rosenzweig/,4.5,18,4/2018,Apple,Mac Pages,Learn the ins and outs of how to use your Mac’s word processor.,3575,
Microsoft,English,https://www.udemy.com/course/powerpoint-for-beginners/,4.2,PowerPoint for Beginners,https://www.udemy.com/user/mattcarey4/,4.3,21,6/2018,PowerPoint,PowerPoint,Learn how to create professional PowerPoint presentations in 1 hour!,9467,
Google,English,https://www.udemy.com/course/google-spreadsheet-tutorial/,4.4,Master Google Sheets (and see why it's better than Excel),https://www.udemy.com/user/justinmares/,4.5,6,11/2015,Excel,Excel,Ditch Excel and Learn Skills to Become a Google Spreadsheet Power User!,19006,
Office Productivity,English,https://www.udemy.com/course/ultimate-guide-microsoft-excel-2013/,3.5,Microsoft Excel 2013 - Be the Excel master !!,https://www.udemy.com/user/ioniya/,4.1,9,10/2015,Microsoft,Excel,A complete guide to learn the essential as well as the advanced features in Microsoft Excel 2013.,12781,
Office Productivity,English,https://www.udemy.com/course/excel-vba-and-macros-course/,4.7,Unlock Excel VBA and Excel Macros,https://www.udemy.com/user/leila-gharani/,4.7,9,9/2021,Microsoft,Excel VBA,Automate Complex Tasks with Microsoft Excel VBA & Excel Macros (Real-World Projects included). Achieve More. Save time.,129381,
Microsoft,English,https://www.udemy.com/course/excel-with-the-ultimate-microsoft-excel-course/,4.7,Microsoft Excel - Excel with The Ultimate Excel Course,https://www.udemy.com/user/stevemcdonald2/,4.7,9,7/2020,Excel,Excel,"Go from Excel Beginner to Excel Expert in 10 Hours - Using Microsoft Excel 2010, Excel 2013, Excel 2016, Excel 2019",8339,
Microsoft,English,https://www.udemy.com/course/microsoft-excel-beginner-bi-business-analyst-symon-he-travis-chow/,4.4,Microsoft Excel for Complete Beginners w/ Case Studies,https://www.udemy.com/user/wcieducation/,4.5,3,3/2021,Excel,Excel,Master or review Excel with 10 real world case studies. Packed with supplemental material for analysts.,22320,
Office Productivity,English,https://www.udemy.com/course/office-365-onedrive/,4.2,Microsoft 365 Getting the Most out of OneDrive,https://www.udemy.com/user/intellezy/,4.4,219,8/2021,Microsoft,Microsoft OneDrive,"Students will learn about Microsoft OneDrive, cloud-based storage allowing access from any Internet connection.",1586,
Office Productivity,English,https://www.udemy.com/course/office-365-teams/,4.6,Microsoft 365 Teams - Beginner,https://www.udemy.com/user/intellezy/,4.4,219,8/2021,Microsoft,Microsoft Teams,"Get a comprehensive overview of Teams, part of Microsoft 365.",2841,
Office Productivity,English,https://www.udemy.com/course/word2013/,4.4,Professional documents using Word 2013,https://www.udemy.com/user/businessproductivity/,4.5,15,9/2015,Microsoft,Microsoft Word,Learn how to effectively use Microsoft Word 2013 to create professional business documents,2468,
Microsoft,English,https://www.udemy.com/course/microsoft-excel-powerpoint-and-word-2016-course/,4.4,"Microsoft Excel, PowerPoint and Word 2016 for Beginners",https://www.udemy.com/user/simonsezit/,4.5,174,2/2021,Excel,Excel,"The Most Convenient Way to Boost Your Confidence And Learn MS Office 2016 Inside And Out—Quickly, No Travel or Classes.",6485,
Microsoft,English,https://www.udemy.com/course/gs-sp-online/,4.3,Getting Started With SharePoint Online,https://www.udemy.com/user/robert-crane/,4.3,4,12/2017,SharePoint,SharePoint,"This course will provide you instructions on using SharePoint Online, including Team Sites and OneDrive for Business.",9216,
Office Productivity,English,https://www.udemy.com/course/oracledbatraining/,4.4,Oracle DBA 11g/12c - Database Administration for Junior DBA,https://www.udemy.com/user/amarnathrpanyam/,4.4,9,2/2018,Oracle,Oracle Database,Learn to become an Oracle Database Administrator (DBA) in 6 weeks and get a well paid job as a Junior DBA.,25007,
Microsoft,English,https://www.udemy.com/course/excel-2010-formulas-and-functions-how-to-use-excel-tutorial/,4.6,Excel Formulas & Functions - Find Answers in Your Excel Data,https://www.udemy.com/user/stevemcdonald2/,4.6,21,3/2021,Excel Formulas and Functions,Excel Formulas and Functions,"Excel Training-How to Use Formulas and Functions in Excel Spreadsheets-Learn on Excel 2010, Excel 2013, or Excel 2016",22054,
Office Productivity,English,https://www.udemy.com/course/microsoft-excel-2016-for-beginners/,4.5,Microsoft Excel 2016 for Beginners: Master the Essentials,https://www.udemy.com/user/simonsezit/,4.5,174,9/2021,Microsoft,Excel,Learn the essentials of Microsoft Excel 2016 in easy to follow steps,5853,
Office Productivity,English,https://www.udemy.com/course/ultimate-microsoft-project-2016-course-beginner-to-expert/,4.5,Ultimate Microsoft Project 2016 Course - Beginner to Expert,https://www.udemy.com/user/simonsezit/,4.5,174,2/2021,Microsoft,Microsoft Project,18 Hours of Training + 18 PDUs. The Most Convenient Way to Learn MS Project 2016 Inside And Out—Quickly,10407,
Office Productivity,English,https://www.udemy.com/course/microsoft-access-2016-for-beginners/,4.6,Microsoft Access: Complete MS Access Mastery for Beginners,https://www.udemy.com/user/stevemcdonald2/,4.6,21,2/2020,Microsoft,Microsoft Access,"Beginning Microsoft Access mastery. Design Access databases from scratch. For Access 2010, Access 2013, and Access 2016.",16621,
Office Productivity,English,https://www.udemy.com/course/excel-waterfall-charts/,4.6,Ultimate Excel Waterfall Chart Course,https://www.udemy.com/user/leila-gharani/,4.7,9,9/2021,Microsoft,Excel Charts,"Impressive Excel Waterfall Charts for Your Reports - From Scratch. No Add-ins, No VBA - For ANY Excel Version!",5148,
Microsoft,English,https://www.udemy.com/course/microsoft-excel-from-basics-to-advanced-in-rapid-time/,5,Microsoft Excel : Get All You Need To Know And Do!,https://www.udemy.com/user/leslie-chalklen/,4.3,25,6/2017,Excel,Excel,Microsoft Excel: From Beginner to Advanced!,67019,
Office Productivity,English,https://www.udemy.com/course/office-365-modern-sharepoint-sites-for-beginners/,4.2,Office 365 modern SharePoint sites for beginners,https://www.udemy.com/user/velin-georgiev/,4.2,1,11/2019,Microsoft,SharePoint,"SharePoint modern sites explained. All videos are a practical exercise, showing SharePoint features in action.",2332,
Office Productivity,English,https://www.udemy.com/course/microsoft-excel-basic-excel-formulas-and-functions/,3.9,Microsoft Excel - MS Excel Formulas & Functions in just 3hrs,https://www.udemy.com/user/start-tech-academy/,4.4,40,7/2021,Microsoft,Excel Formulas and Functions,All important Microsoft Excel formulas and functions covered within 3 hours | Must-know MS Excel formulas and functions,14896,
Office Productivity,English,https://www.udemy.com/course/sales-cloud-consultant-certification-rapid-exam-prep/,4.6,Sales Cloud Consultant Certification: Rapid Exam Prep,https://www.udemy.com/user/bobby-buntin/,4.4,2,10/2019,Other Office Productivity,Salesforce Certified Sales Cloud Consultant,Prepare for the Salesforce Sales Cloud exam using video practice exam questions,3430,
Office Productivity,English,https://www.udemy.com/course/learn-quickbooks-pro-2017-training-course/,4.5,QuickBooks Pro 2017 Training: Manage Small Business Finances,https://www.udemy.com/user/simonsezit/,4.5,174,9/2021,Other Office Productivity,QuickBooks Pro,"The Easiest, Most Convenient and Surefire Way to Master QuickBooks Pro 2017",3338,
Office Productivity,English,https://www.udemy.com/course/intensive-pivot-table-course-learn-everything-in-1-hour/,4.2,No Nonsense Excel Pivot Tables Pro Course,https://www.udemy.com/user/javier-polanco-cid/,4.2,1,11/2016,Microsoft,Excel,With real Companies examples learn the best tricks of Excel Pivot Tables in Just 1 Hour. Improve Decision Making Skills.,19219,
Office Productivity,English,https://www.udemy.com/course/dax-power-pivot-10-easy-steps-for-intermediates/,4.4,DAX Power Pivot - 10 Easy Steps for Intermediates,https://www.udemy.com/user/gilly-dow/,4.6,7,3/2019,Microsoft,DAX,Build Power Pivot Data Models with Excel 2016 Power Query – take your DAX Business Intelligence to the next level,2837,
Office Productivity,English,https://www.udemy.com/course/microsoft-outlook-2016-beginner-and-intermediate-training/,4.5,Microsoft Outlook 2016: Beginner and Intermediate Training,https://www.udemy.com/user/365careers/,4.6,76,6/2020,Microsoft,Microsoft Outlook,Microsoft Outlook 2016 at Its Best - Boost Your Office Productivity in No Time with Outlook 2016: The #1 Outlook Course,17586,
Office Productivity,English,https://www.udemy.com/course/the-quest-for-excel-lence/,4.4,Microsoft Excel Step by Step Training for Beginners!,https://www.udemy.com/user/jedguinto/,4.5,18,8/2019,Microsoft,Excel,Learn all the basics of Microsoft Excel and begin creating amazing templates and tables in just a few hours!!,23766,
Microsoft,English,https://www.udemy.com/course/microsoft-project-tutorial/,4.6,Microsoft Project ALL: BEGINNER to EXPERT 10 Projects 9 PDU,https://www.udemy.com/user/srikanth14/,4.5,10,9/2021,Microsoft Project,Microsoft Project,Learn MS Project all version HANDS-ON with COMPLETE real life examples BONUS 125 project files FREE PMI approved 9 PDUs,61041,
Office Productivity,English,https://www.udemy.com/course/the-complete-servicenow-system-administrator-course/,4.5,The Complete ServiceNow System Administrator Course,https://www.udemy.com/user/markmiller24/,4.5,4,6/2021,Other Office Productivity,ServiceNow,"Learn how to administer, configure, and customize your ServiceNow instance!",31731,
Office Productivity,English,https://www.udemy.com/course/microsoftaccess/,4.6,Microsoft Access 2016 Master Class: Beginner to Advanced,https://www.udemy.com/user/josephparys/,4.4,86,4/2021,Microsoft,Microsoft Access,Quickly learn how Microsoft Access 2016 can make your life easier and more productive!,49268,
Office Productivity,English,https://www.udemy.com/course/excel-2016-intermediate-training-videos/,4.7,Excel 2016 (365) Intermediate Training Course | Office 365,https://www.udemy.com/user/55507604a21d3/,4.4,10,7/2016,Microsoft,Excel,Go beyond the Excel 2016 basics. Excel 2016 is included with Microsoft Office 365,18910,
Office Productivity,English,https://www.udemy.com/course/the-ultimate-microsoft-project-2013-training-bundle/,4,The Ultimate Microsoft Project 2013 Training Bundle 19 Hours,https://www.udemy.com/user/simonsezit/,4.5,174,9/2021,Microsoft,Microsoft Project,"The Most Convenient Way to Boost Your Confidence And Learn MS Project 2013 Inside And Out—Quickly, No Travel or Classes.",10248,
Office Productivity,English,https://www.udemy.com/course/identify-spam-phishing-e-mails/,4.4,Easily Identify Spam & Phishing E-mails,https://www.udemy.com/user/rafisaar/,4.4,4,12/2020,Other Office Productivity,Web Security,Identify e-mail scams BEFORE your corporate or personal data is breached!,7570,
Office Productivity,English,https://www.udemy.com/course/ms-excel-pivot-tables/,4.6,Beginners Guide to Microsoft Excel Pivot Tables,https://www.udemy.com/user/jedguinto/,4.5,18,8/2019,Microsoft,Pivot Tables,Pivot Tables separate beginners from intermediates and allow you to delve deep into your data like no other tool can!,26620,
Office Productivity,English,https://www.udemy.com/course/kaizen-practitioner-masterclass/,4.2,Kaizen Practitioner Masterclass for Quality Management.,https://www.udemy.com/user/suhas-dakhole/,4.3,6,10/2019,Other Office Productivity,Quality Management,Structured Approach to identify and Eliminate waste in Business for Continuous Improvement & Quality Management.,4025,
Office Productivity,English,https://www.udemy.com/course/microsoft-excel-data-analysis-and-dashboard-reporting/,4.7,Microsoft Excel Data Analysis and Dashboard Reporting,https://www.udemy.com/user/kyle-pew/,4.6,19,4/2018,Microsoft,Excel Dashboard,"Build Dynamic, Interactive Microsoft Excel Dashboards (Excel 2010, 2013, 2016) with a Best Selling Excel Instructor",37253,
Office Productivity,English,https://www.udemy.com/course/microsoft-excel-2013-course-beginners-intermediate-training/,4.5,Microsoft Excel 2013 Course Beginners/ Intermediate Training,https://www.udemy.com/user/infiniteskills/,4.3,323,1/2017,Microsoft,Excel,Learn to Master Microsoft Excel In Easy To Follow Step-By-Step Training Course. Comes With Extensive Working Files,33595,
Microsoft,English,https://www.udemy.com/course/microsoft-access-complete-beginner-to-advanced/,4.7,Microsoft Access Complete Beginner to Advanced,https://www.udemy.com/user/kyle-pew/,4.6,19,5/2019,Microsoft Access,Microsoft Access,"Ultimate Microsoft Access Training - Create & Maintain Access Tables, Access Queries, Access Forms, Access Reports",28014,
Google,English,https://www.udemy.com/course/master-gmail-to-increase-productivity/,4,The Ultimate Gmail Productivity System For Business,https://www.udemy.com/user/scottbritton/,4.3,8,4/2013,Gmail Productivity,Gmail Productivity,Learn over 20 different strategies and tools to cut your time spent on email in half and massively increase productivity,15443,
Office Productivity,English,https://www.udemy.com/course/excel-with-top-microsoft-excel-hacks/,4.6,Excel with Top Microsoft Excel Hacks,https://www.udemy.com/user/kyle-pew/,4.6,19,10/2016,Microsoft,Excel,Learn these Hidden Excel Gems to Become an Excel Master,23372,
Office Productivity,English,https://www.udemy.com/course/sap-sales-and-distribution-sd-super-user-training/,4.4,SAP Sales and Distribution (SD) Super User Training,https://www.udemy.com/user/sadim-rasheed-3/,4.2,5,1/2017,SAP,SAP SD,"A complete Beginner and Intermediate SAP SD Training - Step by Step by guide, perform all the task in the SAP System in",2618,
Microsoft,English,https://www.udemy.com/course/ultimate-microsoft-excel-course-beginner-to-excel-expert/,4.5,Ultimate Microsoft Excel Course: Beginner to Excel Expert,https://www.udemy.com/user/alanmurray4/,4.5,5,11/2020,Excel,Excel,Master Excel with this Complete Excel Course. Learn Everything Right Now (Workbooks and Real-World Exercises included).,8944,
Microsoft,English,https://www.udemy.com/course/microsoft-office-2013-training-courses/,4.1,The Ultimate Microsoft Office 2013 Training Bundle 71 Hours,https://www.udemy.com/user/simonsezit/,4.5,174,9/2021,Microsoft Office,Microsoft Office,"The Most Convenient Way to Boost Your Confidence And Learn MS Office 2013 Inside And Out—Quickly, No Travel or Classes.",6095,
Office Productivity,English,https://www.udemy.com/course/advanced-excel-tips-formulas/,4.7,Advanced Excel - Top Excel Tips & Formulas,https://www.udemy.com/user/leila-gharani/,4.7,9,9/2021,Microsoft,Excel Formulas and Functions,Master Advanced Excel Formulas. Solve Complex Problems. Learn Advanced Excel Skills to Save Time & Impress (Excel 2010),31742,
Office Productivity,English,https://www.udemy.com/course/powerpoint-presentation-slide-design-and-animation/,4.5,PowerPoint Presentation Slide Design and Animation,https://www.udemy.com/user/powerpoint-school/,4.5,1,8/2019,Microsoft,PowerPoint,Learn Microsoft PowerPoint from Beginner to Pro and Design Professional Presentation Slides with Attractive Animations,4869,
Office Productivity,English,https://www.udemy.com/course/introduction-to-microsoft-excel-vba/,4.7,Introduction to Microsoft Excel VBA,https://www.udemy.com/user/kyle-pew/,4.6,19,11/2017,Microsoft,Excel VBA,"Learn Microsoft Excel VBA Fundamentals (Excel 2010, 2013, 2016)",24918,
Office Productivity,English,https://www.udemy.com/course/microsoftteams/,4.3,Microsoft Teams: Discover How To Collaborate Online For Work,https://www.udemy.com/user/ermin-dedic/,4.4,20,5/2020,Microsoft,Microsoft Teams,"Microsoft Teams allows you to work remotely. Teams, Channels, Conversations, Chat, Calendar, Planner and more!",4379,
Office Productivity,English,https://www.udemy.com/course/microsoft-excel-masterclass-complete-and-concise/,4.4,Microsoft Excel Masterclass for Business Managers,https://www.udemy.com/user/start-tech-academy/,4.4,40,2/2021,Microsoft,Excel,"Microsoft Excel for Business - Excel Formulas and Functions, Excel Charts, Excel Analytics, Shortcuts & Excel Macros",260073,
Office Productivity,English,https://www.udemy.com/course/microsoft-onenote-likeaboss/,4.4,Outlook 13/16/19 Like a Boss. The Complete Course.,https://www.udemy.com/user/brianculp2/,4.5,10,11/2020,Microsoft,Microsoft Outlook,"110 lessons, most under 5min. Transform email & time mgmt. FREE keyboard shortcut guide. (Also MOS 77-423 prep.)",9208,
Office Productivity,English,https://www.udemy.com/course/power-bi-master-class-dashboards-and-power-bi-service/,4.6,Power BI Master Class - Dashboards and Power BI Service 2021,https://www.udemy.com/user/ianlittlejohn2/,4.6,17,6/2021,Microsoft,Microsoft Power BI,Learn how to create interactive dashboards and to publish to the Power BI Service,13091,
Office Productivity,English,https://www.udemy.com/course/thebestexcel/,4.5,Microsoft Excel - From Beginner to Expert in 6 Hours,https://www.udemy.com/user/toddmcleod/,4.5,20,9/2021,Microsoft,Excel,This Microsoft Excel class will make you a master of Microsoft Excel. The training uses Excel 2013 for Windows.,111410,
Office Productivity,English,https://www.udemy.com/course/learn-40-microsoft-excel-functions/,3.9,Excel Functions,https://www.udemy.com/user/bishoy-samir-william/,3.9,1,9/2019,Microsoft,Excel Formulas and Functions,Learn 40 Microsoft Excel Functions Step by Step,8062,
Office Productivity,English,https://www.udemy.com/course/oracledba/,4.4,Oracle Database Administration for Absolute Beginners,https://www.udemy.com/user/samdhanasekaran/,4.2,7,2/2016,Oracle,Oracle Database,Learn to become an Oracle Database Administrator in a month. It is one of the stable and 'high in demand' IT jobs.,7497,
SAP,English,https://www.udemy.com/course/sap-s4-hana-finance-training-course/,4.5,SAP S/4HANA Finance & Controlling - Configuration & End User,https://www.udemy.com/user/rana-w-mehmood/,4.3,6,1/2021,SAP S/4HANA,SAP S/4HANA,The course covers both configuration and end-user processes for SAP S/4HANA Finance and Controlling,4536,
Office Productivity,English,https://www.udemy.com/course/excel-vba-programming-by-examples/,4.5,Excel VBA programming by Examples (MS Excel 2016),https://www.udemy.com/user/gopalprasadmalakar/,4.2,17,11/2020,Microsoft,Excel VBA,"Recording Macro, Creating Excel VBA form, Fetching data from MS Access, Working with multiple sheets and workbook",85240,
Microsoft,English,https://www.udemy.com/course/sharepoint-designer-2013/,4.7,SharePoint Designer 2013,https://www.udemy.com/user/intellezy/,4.4,219,4/2018,SharePoint,SharePoint,"Learn about SharePoint Designer, including how to integrate data sources and customize content types.",2781,
Office Productivity,English,https://www.udemy.com/course/eye-catching-presentations-using-microsoft-powerpoint-2010/,4.5,Eye-catching presentations using PowerPoint 2010,https://www.udemy.com/user/businessproductivity/,4.5,15,4/2013,Microsoft,PowerPoint,Improve your presentation skills and learn to effectively use PowerPoint 2010 to create eye-catching presentations.,5609,
Office Productivity,English,https://www.udemy.com/course/learning-mac-keynote/,4.5,Mac Keynote: Creating Presentations On Your Mac,https://www.udemy.com/user/gary-rosenzweig/,4.5,18,4/2018,Apple,Apple Keynote,"Learn how to build presentations for work, school, online videos or personal projects.",3162,
Office Productivity,English,https://www.udemy.com/course/learn-microsoft-excel-powerpoint-and-word/,4.4,"Microsoft Office; Excel, Word & PowerPoint 2019 - Beginners",https://www.udemy.com/user/simonsezit/,4.5,174,2/2021,Microsoft,Microsoft Office,Learn the essentials of Microsoft Office in this 3-course bundle for Office 355 or Office 2019 users.,1946,
Office Productivity,English,https://www.udemy.com/course/sharepoint-2013-site-manager/,4.7,SharePoint 2013: Site Manager,https://www.udemy.com/user/learnitanytime/,4.5,22,6/2015,Microsoft,SharePoint,"Students will learn the knowledge and skills needed to implement, manage and support a SharePoint environment.",4144,
